,reviews,date,verified,corpus
0,"Not Verified |  The lady at check-in was very rude and insisted on wanting to check in my colleague on a 4am flight with no alternative accommodation but a mere 200usd and we  rejected the offer as it excluded accommodation. She refused to call the manager when we requested her to and brazenly carried on until we confronted her again. Only after waiting for 55 minutes then my colleague's seat was secured and we went through the boarding gates. As if that wasn't enough, the departure time was 30min late and no apology was received from the captain. To use Kenya Airways was the biggest blunder on my side ever committed. I am a frequent flyer and have never experienced such a distasteful and shabby treatment ever. I vow never to use this airline again.",2023-08-26,False,verified lady check rude insisted wanting check colleague flight alternative accommodation mere usd rejected offer excluded accommodation refused call manager requested brazenly carried confronted waiting minute colleague seat secured went boarding gate enough departure time min late apology received captain use kenya airway biggest blunder side ever committed frequent flyer never experienced distasteful shabby treatment ever vow never use airline
1,"Dismal from start to end. Not all of the staff and crew were rude, some were just sullen and disinterested. Food was consistently awful, drinks were ok. The hard product isn’t too bad (similar to what Turkish used to operate, i.e. dated, but comfortable enough), but everything else was dreadful - checkin, lounges, boarding etc, all service points were very poor. Nairobi airport was an awful experience all 4 times (we had stopovers in both directions), expect corruption, chaos and disorganisation. I’ll do all I can to avoid Kenya Airways in future.",2023-08-23,True,dismal start end staff crew rude sullen disinterested food consistently awful drink ok hard product bad similar turkish used operate e dated comfortable enough everything else dreadful checkin lounge boarding etc service point poor nairobi airport awful experience time stopover direction expect corruption chaos disorganisation avoid kenya airway future
2,"Not Verified | Airline was 1 hour late to board passengers and to 1 hour late to depart without any explanation. Food was horrible, and to make matters worse, they lost the entire passengers' luggage without any explanation. The Swiss Port employee who was left to deal with the passengers had no clue what was going on and all he could do was give us forms to fill out. All perishable items that I carried will now be trashed since the man said the earliest we could get our bags is Wednesday 8/24. A passenger on the same flight who had air tagged her luggage indicated that the bag was still at JKIA! Last month they also lost my husband's luggage and when they tracked it, it was discovered to be at the Delta baggage office still in New York instead of Kenya. 4 days later when it was delivered. They did not even bother to refund us.",2023-08-22,False,verified airline hour late board passenger hour late depart without explanation food horrible make matter worse lost entire passenger luggage without explanation swiss port employee left deal passenger clue going could give u form fill perishable item carried trashed since man said earliest could get bag wednesday passenger flight air tagged luggage indicated bag still jkia last month also lost husband luggage tracked discovered delta baggage office still new york instead kenya day later delivered even bother refund u
3,"Kenya Airways has really disappointed me for a second time, it's never on time, it appears 30_40 minutes late. Am supposed to be setting off to Uganda from Kenya but the plane is not even here. Same applies from Dubai we left 26 minutes late that was even before we boarded. ",2023-08-19,True,kenya airway really disappointed second time never time appears minute late supposed setting uganda kenya plane even applies dubai left minute late even boarded
4,"JNB-NBO-AMS-ZRH on 14-15 August 23. Flights on time, despite being quite full. Good announcements. Check in on transfer desk in Jo-burg, all 3 BPs issued on spot. Kenya now uses the South African Airlines lounge, which is very high class lounge with sleepers and a very diverse buffet with high quality foods. The long haul flights were both on Boeing 787-9, business class is wonderfully furnished, spacious, in 2x2x2 configuration which is perfect. Low chair fenders allow you to overlook entire cabin when seated upright. Very ample leg space in the lie-flats. Spent night in Pride lounge, Nairobi. Preordered, hot seafood meals were provided thrice on the two flights, all different variants and tasty. Take-off champagne given. Not the most sublime business class catering in the skies: food in general is not extraordinary (apart from the pre-order options), no beer choices, only the watery national Tusker Lager offered. Meals robust and reliable, pre-ordered meal managed well. FAs active and smiley, though not well coordinated, despite being many. IFE is acceptable though narrow choices on movies. Nice beds with mattresses and pillows, 2 blankets per seat. Will fly again with KQ. KLMs 52 lounge in Amsterdam is huge and good, they printed out coming Boarding Passes for me. Amsterdam-Zurich on Embraer 190 aircraft operated by KLM, well synchronised with Kenya Airways and under their flight number. Flight full. Delayed ½ hour due to complicated, tedious loading of two giant dogs, a serious unnecessary delay causing delay for 200 people. Catering was surprisingly good: menu card, nice, large food box with 3 course meal, including my favoured seafood meal. Champagne, 4 wines, and lots of hot and soft drinks offered. Swift service. Seats are just economy seats but I was given 2 seats in front row and can’t complain.",2023-08-18,True,jnb nbo am zrh august flight time despite quite full good announcement check transfer desk jo burg bps issued spot kenya us south african airline lounge high class lounge sleeper diverse buffet high quality food long haul flight boeing business class wonderfully furnished spacious x x configuration perfect low chair fender allow overlook entire cabin seated upright ample leg space lie flat spent night pride lounge nairobi preordered hot seafood meal provided thrice two flight different variant tasty take champagne given sublime business class catering sky food general extraordinary apart pre order option beer choice watery national tusker lager offered meal robust reliable pre ordered meal managed well fa active smiley though well coordinated despite many ife acceptable though narrow choice movie nice bed mattress pillow blanket per seat fly kq klms lounge amsterdam huge good printed coming boarding pass amsterdam zurich embraer aircraft operated klm well synchronised kenya airway flight number flight full delayed hour due complicated tedious loading two giant dog serious unnecessary delay causing delay people catering surprisingly good menu card nice large food box course meal including favoured seafood meal champagne wine lot hot soft drink offered swift service seat economy seat given seat front row complain
5,Officially the worlds worst airline. 3hr + delay from SA to Burundi and coming home they call you to board and then tell you your flight is delayed by 2hrs+. No compensation. Rude cheeky staff with no customer service. They try to push the blame to customers and have a serious attitude issue. Everything about the airline is so disappointing from the aircraft to the meals to the staff to the compensation. Been on the airport for more than 10hrs. No empathy for ppl. They tell you to book a hotel at your own expense and they can’t even accommodate ppl in lounges. Pathetic. Stay away from this airline.,2023-08-07,True,officially world worst airline hr delay sa burundi coming home call board tell flight delayed hr compensation rude cheeky staff customer service try push blame customer serious attitude issue everything airline disappointing aircraft meal staff compensation airport hr empathy ppl tell book hotel expense even accommodate ppl lounge pathetic stay away airline
6,"Not Verified |  The worst service I have ever encountered in airline, my fiancé missed her flight 4 times due to overbooking of airline. Airport workers keep on sending her back home saying that the airplane is full, I wonder how if you can treat your staff like that? How can you put up to 7 passengers waiting for more than 4 days or why would you issue staff tickets yet you know the plane is full? 30 minutes Before the gates closes the we can see that you can even issue tickets, the flight has up to 10 seats free and still you decide not to give your staff a seat? I do not ever recommend anyone to use Kenya airways",2023-07-31,False,verified worst service ever encountered airline fianc missed flight time due overbooking airline airport worker keep sending back home saying airplane full wonder treat staff like put passenger waiting day would issue staff ticket yet know plane full minute gate close see even issue ticket flight seat free still decide give staff seat ever recommend anyone use kenya airway
7,"Do not use Kenya Airways! This was the worst decision I’ve ever made, I had two flights one from Mombasa to Nairobi which was delayed 4 hours so I almost “missed” my second flight home to London then I got there and they delayed it by an hour meaning it was 12:55pm then they told us they were delaying it till the next day at midday. The organisation was appalling. Got to a hotel room at 4am which wasn’t cleaned at all and they didn't even give me a key card for my hotel room. The flight then also got delayed another 2 hours the next day.",2023-07-27,True,use kenya airway worst decision ever made two flight one mombasa nairobi delayed hour almost missed second flight home london got delayed hour meaning pm told u delaying till next day midday organisation appalling got hotel room cleaned even give key card hotel room flight also got delayed another hour next day
8,I had the worst experience with them I cant even explain my frustration. The night of my departure they told us 2 hours delay then another 3 hours then they said you know what it's cancelled. They booked me another flight the next day I reached to Dubai and the next flight was already gone by then. ,2023-07-22,True,worst experience cant even explain frustration night departure told u hour delay another hour said know cancelled booked another flight next day reached dubai next flight already gone
9,"We travelled from Mauritius to South Africa, with a connection flight in Nairobi. In Mauritius we've checked in all 3 of our bags at the same time. Upon arrival in Johannesburg, South Africa, we were informed that my son's bag stayed behind in Mauritius. They've done a tracking on the barcode, and informed us that the bag never arrived in Nairobi either. How can you just leave the bag behind? Pathetic service!",2023-07-08,True,travelled mauritius south africa connection flight nairobi mauritius checked bag time upon arrival johannesburg south africa informed son bag stayed behind mauritius done tracking barcode informed u bag never arrived nairobi either leave bag behind pathetic service
